Data Escala de Tempo 1 DM Simp 4,Data do Incio da Semana Din Instante DM Simp 4,Data Escala de Tempo 1 DM Simp 4,Din Instante,Período Exibido DM Simp 4,Subsistema,Texto Data Incio da Semana Din Instante DM,Selecione Tipo de DM Simp 4
2/18/2000 12:00:00 AM,,2/18/2000 12:00:00 AM,2/18/2000 7:40:00 PM,Dia,Nordeste,,7011
2/19/2000 12:00:00 AM,,2/19/2000 12:00:00 AM,2/19/2000 8:07:00 PM,Dia,Nordeste,,7037
2/20/2000 12:00:00 AM,,2/20/2000 12:00:00 AM,2/20/2000 7:54:00 PM,Dia,Nordeste,,6653
2/21/2000 12:00:00 AM,,2/21/2000 12:00:00 AM,2/21/2000 7:30:00 PM,Dia,Nordeste,,7039
2/22/2000 12:00:00 AM,,2/22/2000 12:00:00 AM,2/22/2000 7:43:00 PM,Dia,Nordeste,,6857
2/23/2000 12:00:00 AM,,2/23/2000 12:00:00 AM,2/23/2000 7:42:00 PM,Dia,Nordeste,,6944
2/24/2000 12:00:00 AM,,2/24/2000 12:00:00 AM,2/24/2000 7:39:00 PM,Dia,Nordeste,,7020
2/25/2000 12:00:00 AM,,2/25/2000 12:00:00 AM,2/25/2000 7:52:00 PM,Dia,Nordeste,,7042
2/26/2000 12:00:00 AM,,2/26/2000 12:00:00 AM,2/26/2000 7:40:00 PM,Dia,Nordeste,,7001
2/27/2000 12:00:00 AM,,2/27/2000 12:00:00 AM,2/27/2000 6:30:00 PM,Dia,Nordeste,,6751
2/28/2000 12:00:00 AM,,2/28/2000 12:00:00 AM,2/28/2000 6:36:00 PM,Dia,Nordeste,,7358
2/29/2000 12:00:00 AM,,2/29/2000 12:00:00 AM,2/29/2000 6:35:00 PM,Dia,Nordeste,,7434
3/1/2000 12:00:00 AM,,3/1/2000 12:00:00 AM,3/1/2000 6:42:00 PM,Dia,Nordeste,,7398
3/2/2000 12:00:00 AM,,3/2/2000 12:00:00 AM,3/2/2000 6:40:00 PM,Dia,Nordeste,,7392
3/3/2000 12:00:00 AM,,3/3/2000 12:00:00 AM,3/3/2000 6:41:00 PM,Dia,Nordeste,,7163
3/4/2000 12:00:00 AM,,3/4/2000 12:00:00 AM,3/4/2000 6:31:00 PM,Dia,Nordeste,,7022
3/5/2000 12:00:00 AM,,3/5/2000 12:00:00 AM,3/5/2000 6:51:00 PM,Dia,Nordeste,,6695.3
3/6/2000 12:00:00 AM,,3/6/2000 12:00:00 AM,3/6/2000 6:43:00 PM,Dia,Nordeste,,6476.6
3/7/2000 12:00:00 AM,,3/7/2000 12:00:00 AM,3/7/2000 7:06:00 PM,Dia,Nordeste,,6408.9
3/8/2000 12:00:00 AM,,3/8/2000 12:00:00 AM,3/8/2000 6:26:00 PM,Dia,Nordeste,,7133
3/9/2000 12:00:00 AM,,3/9/2000 12:00:00 AM,3/9/2000 6:23:00 PM,Dia,Nordeste,,7313
3/10/2000 12:00:00 AM,,3/10/2000 12:00:00 AM,3/10/2000 6:29:00 PM,Dia,Nordeste,,7359
3/11/2000 12:00:00 AM,,3/11/2000 12:00:00 AM,3/11/2000 6:48:00 PM,Dia,Nordeste,,7327
3/12/2000 12:00:00 AM,,3/12/2000 12:00:00 AM,3/12/2000 7:21:00 PM,Dia,Nordeste,,7042
3/13/2000 12:00:00 AM,,3/13/2000 12:00:00 AM,3/13/2000 6:28:00 PM,Dia,Nordeste,,7455
3/14/2000 12:00:00 AM,,3/14/2000 12:00:00 AM,3/14/2000 6:26:00 PM,Dia,Nordeste,,7467
3/15/2000 12:00:00 AM,,3/15/2000 12:00:00 AM,3/15/2000 6:30:00 PM,Dia,Nordeste,,7431
3/16/2000 12:00:00 AM,,3/16/2000 12:00:00 AM,3/16/2000 6:33:00 PM,Dia,Nordeste,,7520
3/17/2000 12:00:00 AM,,3/17/2000 12:00:00 AM,3/17/2000 6:35:00 PM,Dia,Nordeste,,7490
3/18/2000 12:00:00 AM,,3/18/2000 12:00:00 AM,3/18/2000 6:46:00 PM,Dia,Nordeste,,7319
3/19/2000 12:00:00 AM,,3/19/2000 12:00:00 AM,3/19/2000 6:40:00 PM,Dia,Nordeste,,6998
3/20/2000 12:00:00 AM,,3/20/2000 12:00:00 AM,3/20/2000 6:33:00 PM,Dia,Nordeste,,7480
3/21/2000 12:00:00 AM,,3/21/2000 12:00:00 AM,3/21/2000 6:24:00 PM,Dia,Nordeste,,7500
3/22/2000 12:00:00 AM,,3/22/2000 12:00:00 AM,3/22/2000 6:30:00 PM,Dia,Nordeste,,7525
3/23/2000 12:00:00 AM,,3/23/2000 12:00:00 AM,3/23/2000 6:30:00 PM,Dia,Nordeste,,7372
3/24/2000 12:00:00 AM,,3/24/2000 12:00:00 AM,3/24/2000 6:34:00 PM,Dia,Nordeste,,7496
3/25/2000 12:00:00 AM,,3/25/2000 12:00:00 AM,3/25/2000 6:37:00 PM,Dia,Nordeste,,7380
3/26/2000 12:00:00 AM,,3/26/2000 12:00:00 AM,3/26/2000 6:37:00 PM,Dia,Nordeste,,7056
3/27/2000 12:00:00 AM,,3/27/2000 12:00:00 AM,3/27/2000 6:25:00 PM,Dia,Nordeste,,7485
3/28/2000 12:00:00 AM,,3/28/2000 12:00:00 AM,3/28/2000 6:18:00 PM,Dia,Nordeste,,7499
3/29/2000 12:00:00 AM,,3/29/2000 12:00:00 AM,3/29/2000 6:22:00 PM,Dia,Nordeste,,7428
3/30/2000 12:00:00 AM,,3/30/2000 12:00:00 AM,3/30/2000 6:20:00 PM,Dia,Nordeste,,7365
