index,value
2015-12-14,639
2015-12-15,620
2015-12-16,556
2015-12-17,498
2015-12-18,439
2015-12-19,403
2015-12-20,385
2015-12-21,409
2015-12-22,428
2015-12-23,453
2015-12-24,472
2015-12-25,497
2015-12-26,504
2015-12-27,495
2015-12-28,460
2015-12-29,409
2015-12-30,358
2015-12-31,338
2016-01-01,347
2016-01-02,361
2016-01-03,384
2016-01-04,396
2016-01-05,412
2016-01-06,409
2016-01-07,412
2016-01-08,442
2016-01-09,481
2016-01-10,517
2016-01-11,519
2016-01-12,521
2016-01-13,520
2016-01-14,500
2016-01-15,458
2016-01-16,416
2016-01-17,402
2016-01-18,412
2016-01-19,426
2016-01-20,442
2016-01-21,443
2016-01-22,452
2016-01-23,437
2016-01-24,435
2016-01-25,422
2016-01-26,411
2016-01-27,392
2016-01-28,387
2016-01-29,404
2016-01-30,441
2016-01-31,495
2016-02-01,543
2016-02-02,598
2016-02-03,630
2016-02-04,660
2016-02-05,664
2016-02-06,660
2016-02-07,659
2016-02-08,655
2016-02-09,643
2016-02-10,632
2016-02-11,619
2016-02-12,596
2016-02-13,568
2016-02-14,517
2016-02-15,489
2016-02-16,462
2016-02-17,466
2016-02-18,465
2016-02-19,478
2016-02-20,484
2016-02-21,496
2016-02-22,508
2016-02-23,533
2016-02-24,534
2016-02-25,514
2016-02-26,470
2016-02-27,460
2016-02-28,443
2016-02-29,445
2016-03-01,441
2016-03-02,450
2016-03-03,477
2016-03-04,502
2016-03-05,515
2016-03-06,503
2016-03-07,481
2016-03-08,469
2016-03-09,483
2016-03-10,530
2016-03-11,596
2016-03-12,634
2016-03-13,634
2016-03-14,607
2016-03-15,574
2016-03-16,558
2016-03-17,570
2016-03-18,599
2016-03-19,630
2016-03-20,645
2016-03-21,669
2016-03-22,688
2016-03-23,687
2016-03-24,666
2016-03-25,670
2016-03-26,723
2016-03-27,977
2016-03-28,1040
2016-03-29,1068
2016-03-30,1038
2016-03-31,881
2016-04-01,780
2016-04-02,742
2016-04-03,697
2016-04-04,671
2016-04-05,655
2016-04-06,663
2016-04-07,677
2016-04-08,706
2016-04-09,732
2016-04-10,748
2016-04-11,875
2016-04-12,1060
2016-04-13,1468
2016-04-14,1433
2016-04-15,1232
2016-04-16,1128
2016-04-17,1096
2016-04-18,1212
2016-04-19,1359
2016-04-20,1692
2016-04-21,1773
2016-04-22,1748
2016-04-23,1693
2016-04-24,1604
2016-04-25,1520
2016-04-26,1375
2016-04-27,1276
2016-04-28,1159
2016-04-29,1040
2016-04-30,937
2016-05-01,875
2016-05-02,810
2016-05-03,777
2016-05-04,750
2016-05-05,728
2016-05-06,702
2016-05-07,658
2016-05-08,626
2016-05-09,595
2016-05-10,571
2016-05-11,544
2016-05-12,527
2016-05-13,509
2016-05-14,494
